model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__l2_regularization,param_model__max_iter,param_model__max_leaf_nodes
Gradient Boosting,0.15945181846618653,0.005831109945860458,0.012491846084594726,0.00011186091581414849,,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",-11.798028573956438,-12.728508477231806,-10.930973047143898,-20.298333193436953,-10.29035447090537,-13.209239552534893,3.6383583064796223,12,2,,2.0,100.0,0.03,,,
Gradient Boosting,0.299733829498291,0.006026691000322367,0.016051054000854492,0.006944543765689212,,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-13.345384136334594,-12.618614162294977,-11.404675806818227,-21.15054436798761,-10.289688389833344,-13.761781372653749,3.838890799705357,33,2,,2.0,200.0,0.03,,,
Gradient Boosting,0.18514394760131836,0.005345472086304457,0.012614011764526367,0.0005716959958010005,,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",-10.802795438199672,-12.04905075976005,-10.178623079960698,-21.04668544224594,-10.554608748570702,-12.926352693747413,4.108385216098119,7,3,,1.0,100.0,0.03,,,
Gradient Boosting,0.35520205497741697,0.015146863706233058,0.014673566818237305,0.0031098848049506272,,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-11.10361781680866,-11.861397243710092,-10.102678487473542,-21.377746622117826,-11.178820454749866,-13.124852124971998,4.164433855956873,11,3,,1.0,200.0,0.03,,,
Gradient Boosting,0.18771114349365234,0.007840263935024738,0.013856840133666993,0.0026662710765224607,,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",-12.101508898762575,-12.206561463796561,-11.623324601965317,-20.757960959100316,-10.921828456404365,-13.522236876005826,3.646180592223133,28,3,,2.0,100.0,0.03,,,
Gradient Boosting,0.34642624855041504,0.007928138962543452,0.013524484634399415,0.0012970073029871802,,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-12.91039927148316,-10.855222525098922,-11.41613180175006,-21.175512295670668,-11.657799748853524,-13.603013128571266,3.845493877813738,31,3,,2.0,200.0,0.03,,,
Gradient Boosting,0.139127779006958,0.00934226394281625,0.012291717529296874,0.00016771410181848457,,"{'model__learning_rate': 0.05, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",-9.871469543135873,-12.590213724532811,-9.854353801397801,-20.88889102077668,-10.441752391151157,-12.729336096198864,4.201515327584455,5,1,,1.0,100.0,0.05,,,
Gradient Boosting,0.27080340385437013,0.024536057074729282,0.013420295715332032,0.0005871469904362819,,"{'model__learning_rate': 0.05, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-9.91741996313226,-11.935869515500142,-9.5832293759753,-20.785872325829477,-10.53854252095594,-12.552186740278625,4.194875256459562,3,1,,1.0,200.0,0.05,,,
Gradient Boosting,0.13621606826782226,0.0047420074635538,0.012645196914672852,0.000256045277040893,,"{'model__learning_rate': 0.05, 'model__max_depth': 1, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",-11.499993151141075,-13.98775421386684,-10.199078280570092,-20.65779064182124,-10.332322856065211,-13.335387828692893,3.905551825083619,18,1,,2.0,100.0,0.05,,,
Gradient Boosting,0.3482836723327637,0.0700582826319898,0.023724699020385744,0.005870796492336665,,"{'model__learning_rate': 0.05, 'model__max_depth': 1, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-12.290020609775212,-13.591412913383035,-10.298566836297834,-20.411146330987428,-10.147415809074618,-13.347712499903626,3.757908665715274,20,1,,2.0,200.0,0.05,,,
Gradient Boosting,0.33588504791259766,0.06549487178092656,0.0231656551361084,0.006029798029110976,,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",-10.77502650016861,-12.640885364667037,-9.719450766795822,-21.030028421108273,-11.272422362883823,-13.087562683124712,4.080907214981232,10,2,,1.0,100.0,0.05,,,
Gradient Boosting,0.5048048973083497,0.08407014402176459,0.024787330627441408,0.004862807536687049,,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-11.317277915514142,-12.657125711502927,-9.62809869218319,-20.974992844505273,-11.61071968478191,-13.237642969697486,3.9891621822110737,14,2,,1.0,200.0,0.05,,,
