stage,file,rows,columns,column_names
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Water_demand_growth__2026_04_21_engineered.csv,11.0,16.0,"region, time_frame, unnamed__2, water_demand_growth, non_revenue_water, water_losses, system_input_volume__litres, revenue_water__litres, non_revenue_water__litres, water_losses__litres, water_demand_growth_change, water_demand_growth_pct_change, non_revenue_water_change, non_revenue_water_pct_change, water_losses_change, water_losses_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Weather_engineered.csv,21301.0,71.0,"station, name, latitude, longitude, elevation, date, prcp, prcp_attributes, tavg, tavg_attributes, tmax, tmax_attributes, tmin, tmin_attributes, year, month, day, day_of_year, quarter, month_sin, month_cos, rainfall_present, rainfall_7day, rainfall_30day, rainfall_90day, rainfall_7day_mean, temperature_range, tmax_7day_mean, tmin_7day_mean, latitude_change, latitude_pct_change, longitude_change, longitude_pct_change, elevation_change, elevation_pct_change, prcp_change, prcp_pct_change, tavg_change, tavg_pct_change, tmax_change, tmax_pct_change, tmin_change, tmin_pct_change, year_change, year_pct_change, month_change, month_pct_change, day_change, day_pct_change, day_of_year_change, day_of_year_pct_change, quarter_change, quarter_pct_change, month_sin_change, month_sin_pct_change, month_cos_change, month_cos_pct_change, rainfall_7day_change, rainfall_7day_pct_change, rainfall_30day_change, rainfall_30day_pct_change, rainfall_90day_change, rainfall_90day_pct_change, rainfall_7day_mean_change, rainfall_7day_mean_pct_change, temperature_range_change, temperature_range_pct_change, tmax_7day_mean_change, tmax_7day_mean_pct_change, tmin_7day_mean_change, tmin_7day_mean_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/feature_engineering_summary.csv,26.0,7.0,"Dataset, Rows, Original Columns, Engineered Columns, New Features, New Feature Names, Numeric Features"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/feature_engineering_validation.csv,26.0,7.0,"Dataset, Rows, Columns, Missing Values, Duplicate Rows, Infinite Values, Validation"
Notebook 3 / ModellingData,Outputs/ModellingData/Drinking_Water_Quality_Compliance_-_SANS_241__2006_-_National__From__2022-07-01_To__2026-06-30__model_ready.csv,4.0,4.0,"category, sans_241__2006, sans_241__2006_change, sans_241__2006_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Households_Served_with_Water__2026_04_21_model_ready.csv,11.0,19.0,"region, time_frame, unnamed__2, households_served_with_water_1994_to_april_2025, households_served_with_water_201415, households_served_with_water_201516, households_served_with_water_201617, households_served_with_water_201718, households_served_with_water_201819, households_served_with_water_201920, households_served_with_water_202021, households_served_with_water_202122, households_served_with_water_202223, households_served_with_water_202324, households_served_with_water_202425, households_served_with_water_202526, planned_households_to_be_served_202627, households_served_with_water_201415_change, households_served_with_water_201415_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Institutional_Compliance__2026_04_21_model_ready.csv,11.0,9.0,"region, time_frame, unnamed__2, potable_water_compliance_percentage, effluent_water_compliance_percentage, potable_water_compliance_percentage_change, potable_water_compliance_percentage_pct_change, effluent_water_compliance_percentage_change, effluent_water_compliance_percentage_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Microbiological___Acute_Health__2026_04_21_model_ready.csv,11.0,12.0,"region, time_frame, unnamed__2, risk_type, analysis_done, analysis_failed, compliance_percentage, compliance_result, analysis_failed_change, analysis_failed_pct_change, compliance_percentage_change, compliance_percentage_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/NIWIS_RWT_16-Jul-2026__model_ready.csv,9.0,11.0,"wma, date, domestic_and_industry_c_m3, irrigation_c_m3, forestry_c_m3, domestic_and_industry_c_m3_change, domestic_and_industry_c_m3_pct_change, irrigation_c_m3_change, irrigation_c_m3_pct_change, forestry_c_m3_change, forestry_c_m3_pct_change"
Notebook 3 / ModellingData,Outputs/ModellingData/Operational__2026_04_21_model_ready.csv,11.0,12.0,"region, time_frame, unnamed__2, risk_type, analysis_done, analysis_failed, compliance_percentage, compliance_result, analysis_failed_change, analysis_failed_pct_change, compliance_percentage_change, compliance_percentage_pct_change"
